actor_ids,actor_names,actor_points
nm0001113,Brad Davis,964
nm0289142,Matthew Fox,959
nm0582890,Paul Meurisse,955
nm1410940,Lily Franky,945
nm1281229,Hugo Silva,933
nm0000987,Jim Brown,927
nm0001555,Rob Morrow,927
nm0475165,Jun Kunimura,926
nm0000865,Richard Basehart,921
nm3841091,Adarsh Gourav,908
nm3822770,Rajkummar Rao,908
nm0430107,Michael B. Jordan,906
nm0527002,Federico Luppi,900
nm0869088,Luis Tosar,894
nm0728476,Lazar Ristovski,889
nm0061484,Giuseppe Battiston,884
nm0316074,Marco Giallini,884
nm0000817,Lew Ayres,877
nm0000287,William Baldwin,871
nm0000393,Peter Falk,869
nm4150847,Stephan James,862
nm2018237,Taylor Kitsch,862
nm0001970,Klaus Maria Brandauer,861
nm0183822,Tom Courtenay,860
nm0676973,William Petersen,860
nm0001329,Nigel Hawthorne,840
nm0470328,Werner Krauss,837
nm4199420,Aras Bulut Iynemli,830
nm3306943,James Frecheville,828
nm3718007,Jonathan Majors,819
nm0001509,Dean Martin,818
nm0618057,Ulrich Mühe,817
nm0559647,Yutaka Matsushige,814
nm0545298,Fredric March,808
nm0639563,George O'Brien,808
nm0494078,Samuel Le Bihan,799
nm0753737,Jérémie Renier,799
nm0006890,Paul Scofield,792
nm0915840,Dennis Weaver,789
nm0667282,Gastón Pauls,785
nm0952498,Zbigniew Zamachowski,760
nm0301515,Janusz Gajos,760
nm0836136,Jerzy Stuhr,760
nm0001424,Udo Kier,756
nm0001117,Bruce Davison,738
nm0911542,Fred Ward,738
nm0001606,Chris Penn,738
nm0001251,Peter Gallagher,738
nm0340926,Helmut Griem,732
nm0734000,Jean Rochefort,730
nm2412823,Kim Yoon-seok,729
nm0007042,Herbert Lom,728
nm0632689,Hidetoshi Nishijima,727
nm4608165,Antoine Olivier Pilon,714
nm0001831,David Warner,713
nm0753479,Chishû Ryû,711
nm0001418,David Keith,709
nm2580347,The Marx Brothers,706
nm0001357,Paul Hogan,700
nm0147767,Jakob Cedergren,695
nm1030819,Hee Jae,695
nm0719692,Michael Rennie,683
nm3510471,Sam Claflin,682
nm4207146,Jason Mitchell,676
nm3779182,Chino Darín,658
nm0349522,Javier Gutiérrez,658
nm1486647,Álvaro Morte,658
nm0001314,John Hannah,646
nm0001487,John Lynch,646
nm0159789,Hayden Christensen,645
nm0714878,Michael Redgrave,640
nm0598971,Yves Montand,639
nm0960379,Birol Ünel,635
nm0954225,Kevin Zegers,635
nm0000141,David Duchovny,629
nm0431139,Louis Jourdan,627
nm0703033,Anthony Quayle,625
nm0374949,Johan Heldenbergh,616
nm0232196,Robert Donat,612
nm3718007,Jonathan Majors,607
nm0038355,Tadanobu Asano,607
nm0926183,Stuart Whitman,603
nm0001958,Dirk Bogarde,601
nm1796057,Max Irons,600
nm4453291,Franz Rogowski,600
